house_price,rental_agency,city,bedrooms,surface
1650,RE/MAX Makelaarsgilde Leiden,Leiden,2,110
1375,Allround Housing,Amsterdam,3,58
1050,BVwonen,Tilburg,4,80
1300,Rotsvast Tilburg,Tilburg,3,85
344,BM Vastgoed,Arnhem,1,16
425,BM Vastgoed,Velp,1,17
1095,De Verhuurmakelaar,Voorschoten,3,73
1010,Van der Wal Zuidland Beheer B.V.,Zuidland,1,60
1500,Van der Wal Zuidland Beheer B.V.,Zuidland,4,90
1350,Van der Wal Zuidland Beheer B.V.,Rotterdam,2,44
1150,RE/MAX Makelaarsgilde Leiden,Leiden,3,57
710,Novi Makelaardij,Heerhugowaard,1,32
1100,LV Housing,Amsterdam,1,33
1200,Rotsvast Eindhoven,Eindhoven,2,64
1195,Rotsvast Eindhoven,Eindhoven,2,50
1250,Tweelwonen.nl Noordwijk,Noordwijk,2,95
1295,Housedby,Drunen,5,101
1600,Expat Residence,Den Haag,4,110
1145,HouseHunting 't Gooi,Bussum,3,98
1250,The Hague Real Estate Services,Den Haag,2,70
1350,The Hague Real Estate Services,Den Haag,4,93
1650,Makelaardij Witte,Waverveen,4,83
1350,Hevesta Bemiddeling,Amsterdam,1,37
985,OurDomain Amsterdam Diemen,Diemen,2,47
1250,The Real Estate Company,Den Haag,2,45
